0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,8,10,19,23,37,43,65,82,103,129,134,182,207,269,319,359,400,467,576,754,-1525223385,134264034,-1,-1
19,23,37,43,65,82,103,129,134,182,207,269,319,359,400,467,576,754,0,7,8,10,19,23,37,43
65,82,103,129,134,182,207,269,319,359,400,467,576,754,0,7,8,10,19,23,37,43,65,82,103,129
